,date,daily_return
0,2021-10-01,0.0
1,2021-10-04,-0.014727657251190462
2,2021-10-05,0.008793235779199184
3,2021-10-06,-0.0023793959496535766
4,2021-10-07,0.010122709442574457
5,2021-10-08,-0.0043073770637547925
6,2021-10-11,-0.008136924627051234
7,2021-10-12,-0.005322178857895616
8,2021-10-13,0.0031594102283104665
9,2021-10-14,0.015641432089305143
10,2021-10-15,0.004274313361064229
11,2021-10-18,0.00613953499961405
12,2021-10-19,0.010056700473782758
13,2021-10-20,0.0058110840106530455
14,2021-10-21,-0.0033884664471201375
15,2021-10-22,-0.0024109562671167793
16,2021-10-25,0.0029363909048319738
17,2021-10-26,0.0008752278133375493
18,2021-10-27,-0.013973853996779006
19,2021-10-28,0.013541009592957688
20,2021-10-29,-0.004124354447592984
21,2021-11-01,0.011789578331415604
22,2021-11-02,0.006482859683270033
23,2021-11-03,0.006608682633537191
24,2021-11-04,0.0011132700558020227
25,2021-11-05,0.01188807182389894
26,2021-11-08,0.004614167298927305
27,2021-11-09,-0.0027818523368770445
28,2021-11-10,-0.009695220178185122
29,2021-11-11,0.009913474255168128
30,2021-11-12,0.006316973229013936
31,2021-11-15,0.010127163300450576
32,2021-11-16,0.000789318191861518
33,2021-11-17,-0.008933014723414314
34,2021-11-18,-0.0020364845794677046
35,2021-11-19,0.004435519636465256
36,2021-11-22,-0.0105982812207291
37,2021-11-23,0.007431381808608351
38,2021-11-24,0.0022746019338655598
39,2021-11-26,-0.019225647944015153
40,2021-11-29,0.008651257785447938
41,2021-11-30,-0.018741455726236717
42,2021-12-01,-0.014520025649616592
43,2021-12-02,0.01924207208332171
44,2021-12-03,-0.01515605356487746
45,2021-12-06,0.008537992306096507
46,2021-12-07,0.020321707597392328
47,2021-12-08,0.0005801024148012614
48,2021-12-09,-0.010762364702081868
49,2021-12-10,0.006091987620026221
50,2021-12-13,-0.008512270029137937
51,2021-12-14,-0.007225446204348261
52,2021-12-15,0.010087663470535637
53,2021-12-16,-0.0046631658833019415
54,2021-12-17,-0.0072754180497002436
55,2021-12-20,-0.00944229891384482
56,2021-12-21,0.026653549472327905
57,2021-12-22,0.00755929238969626
58,2021-12-23,0.005864484709734927
59,2021-12-27,0.01107474308619453
60,2021-12-28,-0.0013601672265912447
61,2021-12-29,-0.00026115139535137625
62,2021-12-30,0.0036691065444958318
63,2021-12-31,-0.0015624515305040282
64,2022-01-03,0.00275584049630029
65,2022-01-04,-0.0015277995100634282
66,2022-01-05,-0.017014346203834102
67,2022-01-06,0.0024269773935318294
68,2022-01-07,-0.010556813053133654
69,2022-01-10,-0.006664577520685961
70,2022-01-11,0.014504429731973504
71,2022-01-12,0.0017238324607887912
72,2022-01-13,-0.009408221729506299
73,2022-01-14,-0.0011075004474331977
74,2022-01-18,-0.01938062045503824
75,2022-01-19,-0.01032234331583597
76,2022-01-20,-0.011375411856140953
77,2022-01-21,-0.02039671850898278
78,2022-01-24,0.0020179205038586084
79,2022-01-25,-0.009844052856043244
80,2022-01-26,-0.014631767330985236
81,2022-01-27,-0.009629004664422104
82,2022-01-28,0.014667243572863826
83,2022-01-31,0.031780593937704056
84,2022-02-01,0.007339959911696435
85,2022-02-02,0.005825365998304688
86,2022-02-03,-0.018075139478170174
87,2022-02-04,0.0005249134134266489
88,2022-02-07,0.004034056098304562
89,2022-02-08,0.009584662132247637
90,2022-02-09,0.02186782737290839
91,2022-02-10,-0.014584397141950225
92,2022-02-11,-0.022852286666241065
93,2022-02-14,-0.003458654209556439
94,2022-02-15,0.02386517456798427
95,2022-02-16,-0.0008043877906908993
96,2022-02-17,-0.022579646728236043
97,2022-02-18,-0.014591469307427878
98,2022-02-22,-0.014768257986934909
99,2022-02-23,-0.012742852156993315
100,2022-02-24,0.012998672947681584
101,2022-02-25,0.026174924495382612
102,2022-02-28,-0.007152436628366333
103,2022-03-01,-0.016467618335515095
104,2022-03-02,0.01927892751253473
105,2022-03-03,-0.005893920001672359
106,2022-03-04,-0.020859032837380158
107,2022-03-07,-0.03473028124193875
108,2022-03-08,-0.0026586484217449467
109,2022-03-09,0.037702595228015445
110,2022-03-10,-0.013097395851791975
111,2022-03-11,-0.020543885186972637
112,2022-03-14,-0.009231167646319817
113,2022-03-15,0.027002903559068467
114,2022-03-16,0.053651157497616904
115,2022-03-17,0.013398733100930949
116,2022-03-18,0.015256634246276447
117,2022-03-21,-0.012269824442415029
118,2022-03-22,0.013752442741327073
119,2022-03-23,-0.014994577924149245
120,2022-03-24,0.014303776198919285
121,2022-03-25,-0.0013178891594328183
122,2022-03-28,0.008897354235058007
123,2022-03-29,0.015094381696862483
124,2022-03-30,-0.007011079107880267
125,2022-03-31,-0.016819850326269606
126,2022-04-01,0.004344706953073613
127,2022-04-04,0.004651381017012015
128,2022-04-05,-0.019945452540749895
129,2022-04-06,-0.0063930448969606625
130,2022-04-07,0.001893758063872458
131,2022-04-08,-0.004920837605040923
132,2022-04-11,-0.012264145267045187
133,2022-04-12,-0.003412617209248044
134,2022-04-13,0.020044326263697117
135,2022-04-14,-0.011790884823937618
136,2022-04-18,0.0007507354353501431
137,2022-04-19,0.019909283222121196
138,2022-04-20,-0.001441923600128808
139,2022-04-21,-0.017048576467814106
140,2022-04-22,-0.030044840749246376
141,2022-04-25,0.010462387901833497
142,2022-04-26,-0.02698438582422461
143,2022-04-27,0.005917686884385341
144,2022-04-28,0.02089278661450443
145,2022-04-29,-0.028019191679109108
146,2022-05-02,0.011558356441833987
147,2022-05-03,0.007276479506968549
148,2022-05-04,0.03271283343159667
